Questions,Difficulty Level,Bloom's Taxonomy,Category,Sub Category
what  s the name of a golf course in myrtle beach,Medium,Remembering,Entity,Other
what are some of the significant historical events of the     s,Medium,Understanding,Entity,Event
name the only extant trilogy of classical greek plays  ,Medium,Remembering,Entity,"Currency, monetary value, or gem"
where is logan airport,Easy,Remembering,Location,Other
what is the difference between neoclassical art and romanticism art,Easy,Remembering,Description,Description
who was the first person inducted into the u s  swimming hall of fame,Easy,Remembering,Human,Individual
what golfer has been called ohio fats and blobbo,Medium,Understanding,Human,Individual
who murdered leno and rosemary labianca on august  ,Easy,Remembering,Human,Individual
what is the average cost for four years of medical school,Easy,Remembering,Numeric,Money
what does god create in the first sentence of the bible,Hard,Understanding,Entity,Other
which of the following men was not married to rita hayworth,Medium,Remembering,Human,Individual
what is the current ticket fare from from cairo to barbados,Easy,Remembering,Numeric,Money
what does nn o    mean when used as a prefix in irish surnames,Hard,Understanding,Abbreviation,Expression
how do you find oxidation numbers,Medium,Understanding,Description,Manner
what is the state nickname of mississippi,Easy,Remembering,Location,State or province
what is black hills   south dakota most famous for,Easy,Remembering,Description,Reason
what      boob tube bomb took astronauts back to prehistoric times,Medium,Understanding,Entity,"Currency, monetary value, or gem"
how many students attend the university of massachusetts,Medium,Understanding,Numeric,Count
who said      i shall return      during world war two,Medium,Remembering,Human,Individual
what holidays are celebrated in ireland,Medium,Understanding,Entity,Event
who portrayed etta place   companion to butch cassidey and the sundance kid,Hard,Remembering,Human,Individual
what are the greek numerals,Medium,Understanding,Description,Definition
what  s the name of the temple that is located near the capital city of laos,Easy,Remembering,Location,Other
what is a fear of sleep,Easy,Remembering,Entity,Disease or medical condition
what auto race was wilbur reed the first to win three times,Medium,Remembering,Entity,Sport
what are the most common breeding birds in the u s ,Medium,Understanding,Entity,Animal
what was organized as a confederate veterans   social club in pulaski   in tennessee   in     ,Hard,Understanding,Entity,Event
how do you look up criminal records on the internet,Medium,Understanding,Description,Manner
where is the actress   marion davies   buried,Easy,Remembering,Location,Other
what is an example of an actual case of using the fourteenth amendment,Easy,Remembering,Description,Description
who was the charlie perfume woman,Easy,Remembering,Human,Individual
who portrayed    rosanne rosanna dana    on the television show    saturday night live   ,Easy,Remembering,Human,Individual
what singer became despondent over the death of freddie prinze   quit show business   and then quit the business,Hard,Understanding,Human,Individual
when did iraqi troops invade kuwait,Medium,Understanding,Numeric,Date
what was mark johnson referring to when he said      i still can  t believe it  we beat the russians     ,Medium,Understanding,Entity,Term or equation
what car was driven in the     release of    smokey and the bandit   ,Hard,Understanding,Entity,Product
what was the backup singing group for roy rogers,Medium,Understanding,Human,Groups
what famous singing cowboy owns the california angels baseball team,Medium,Understanding,Human,Individual
what      film was the first to gross $  million,Medium,Understanding,Entity,"Currency, monetary value, or gem"
where did the term          come from,Medium,Understanding,Description,Description
what causes someone to be ticklish,Medium,Understanding,Description,Reason
what is the probability that at least   out of    people will have the same birthday,Easy,Remembering,Numeric,Percentage
how many canadians emmigrate each year,Hard,Understanding,Numeric,Count
why did several san diego schools remove apples from students menus,Medium,Understanding,Description,Reason
what musical instrument did sherlock holmes play,Medium,Remembering,Entity,Instrument
who was gerald ford  s vice president,Easy,Remembering,Human,Individual
what is    the washed vodka   ,Easy,Remembering,Description,Definition
how many different languages are spoken in europe,Medium,Understanding,Numeric,Count
what year was desmond mpilo tutu awarded the nobel peace prize,Medium,Understanding,Numeric,Date
what  s a    drinker respirator    better known as,Medium,Remembering,Entity,Term or equation
who invented batteries,Easy,Remembering,Human,Individual
why do recipe books recommend starting with cold water when you boil something,Medium,Understanding,Description,Reason
where can i buy a good snowboard for less than $   ,Hard,Creating,Location,Other
what title did suzette charles assume for two months in     ,Medium,Understanding,Human,Title
what was the infamous pseudonym of peter sutcliffe,Medium,Understanding,Human,Individual
what is smokey the bear  s middle name,Easy,Remembering,Entity,Animal
what is nicholas cage  s occupation,Easy,Remembering,Human,Title
what british tv series featured emma peel,Medium,Understanding,Entity,"Currency, monetary value, or gem"
what london street is the home of british journalism,Easy,Remembering,Location,Other
what tragedy befell the city of dogtown in     ,Easy,Understanding,Entity,Event
what is the immaculate conception,Easy,Remembering,Description,Definition
what are the names of all the u s  navy aircraft carriers,Medium,Understanding,Entity,Vehicle
what format was vhs  s main competition,Medium,Understanding,Entity,Other
what is candlemas day,Easy,Remembering,Description,Definition
in what city is the famed st  mark  s square,Easy,Remembering,Location,City
what does the ouarterly review of doublespeak call an    inoperative statement   ,Hard,Understanding,Entity,Term or equation
how much did the minimum wage amount to in     ,Hard,Understanding,Numeric,Money
where is tufts university,Easy,Remembering,Location,Other
what is a pyrotechnic display,Easy,Remembering,Description,Definition
how do i find out about jobs,Hard,Understanding,Description,Manner
what japanese manufacturer is known for both its pianos and its motorcycles,Easy,Remembering,Human,Groups
what is the chemical reactivity of argon,Easy,Remembering,Numeric,Other
how many engines does a boeing     have,Hard,Understanding,Numeric,Count
what is the origin of the term    the brooklyn side    in bowling,Easy,Remembering,Description,Description
what is a fear of being cold,Easy,Remembering,Entity,Disease or medical condition
how long was mao  s     s long march,Hard,Understanding,Numeric,Distance
what net game sees its women  s world amateur champions receive the uber cup,Medium,Understanding,Entity,Sport
what four legged creature did a cornell university study say would make man  s best companion in space,Medium,Understanding,Entity,Animal
what does a teaspoon of matter weigh in a black hole,Medium,Understanding,Numeric,Weight
what did british companies stick         tons of tea into in     ,Medium,Understanding,Entity,Other
what province is edmonton located in,Easy,Remembering,Location,State or province
how can i find out how much income tax is paid on social security income on the      income tax,Hard,Understanding,Description,Manner
who did sonny liston succeed as world heavyweight boxing champion,Easy,Remembering,Human,Individual
what is california  s state bird,Easy,Remembering,Entity,Animal
what is martin luther king jr   s real birthday,Easy,Remembering,Numeric,Date
name the various super teams to which the angel has belonged  ,Medium,Remembering,Human,Groups
how does zatanna perform her magic in dc comics,Hard,Understanding,Description,Manner
what  s the name of jacques cousteau  s research ship,Medium,Remembering,Entity,Vehicle
what president dispatched a cruiser to carry charles lindbergh home after his epic flight,Medium,Understanding,Human,Individual
whose video is titled shape up with arnold,Easy,Remembering,Human,Individual
in which kevin costner movie did sioux indians play a role,Medium,Remembering,Entity,"Currency, monetary value, or gem"
how many james bond novels are there,Medium,Understanding,Numeric,Count
how do you get dates with the    hooters    girls,Medium,Understanding,Description,Manner
what bird can swim but can  t fly,Medium,Understanding,Entity,Animal
how can i get a comic character i made copyrighted and published,Hard,Understanding,Description,Manner
how large is the arctic refuge to preserve unique wildlife and wilderness value on alaska  s north coast,Easy,Remembering,Numeric,Volume or size
what is plc,Easy,Remembering,Description,Definition
how much electricity does the brain need to work,Hard,Understanding,Numeric,Count
how many acres in a mile,Hard,Understanding,Numeric,Count
what dickens novel has david carrying the message    barkis is willin    to peggy,Easy,Remembering,Entity,"Currency, monetary value, or gem"
what is a hyperlink,Easy,Remembering,Description,Definition
who  s the twin brother of the greek goddess artemis,Easy,Remembering,Human,Individual
where did marijuana come from,Medium,Understanding,Description,Description
what is the per capita income of colombia   south america  ,Easy,Remembering,Numeric,Money
what novel has big brother watching,Medium,Remembering,Entity,"Currency, monetary value, or gem"
how many grammys did michael jackson win in     ,Hard,Understanding,Numeric,Count
what does elysium mean,Medium,Understanding,Description,Definition
what is the oldest website on the internet,Easy,Remembering,Location,Other
what is shalom,Easy,Remembering,Description,Definition
what was the favorite sport of tom wolfe  s the pump house gang,Medium,Understanding,Entity,Sport
what organic fuel do bog dwellers use a    slane    to cut,Medium,Understanding,Entity,Substance
what is the average age of a member of the team that worked on the manhatten project,Easy,Remembering,Numeric,Period of time
what country received all the nobel prizes awarded in     ,Medium,Understanding,Location,Country
how do you get rid on woodpeckers,Medium,Understanding,Description,Manner
how many syllables are there in a line of hendecasyllabic poetry,Medium,Understanding,Numeric,Count
what soft drink first appeared in the old corner drug store in waco   texas   in     ,Medium,Understanding,Entity,Food
what is britain  s possession on the chinese mainland,Easy,Remembering,Location,Other
who was america  s first public enemy no   ,Easy,Remembering,Human,Individual
how many children under    are victims of some sort of physical abuse each year,Medium,Understanding,Numeric,Count
what is the origin of thank you notes,Easy,Remembering,Description,Description
what did jimmy stewart invent,Medium,Understanding,Entity,Other
what generation am i in,Medium,Understanding,Entity,Other
what is a fear of hell,Easy,Remembering,Entity,Disease or medical condition
who is dear abby,Easy,Remembering,Human,Description
who lives at    sussex drive   ottawa,Easy,Remembering,Human,Individual
what is jell o made from,Easy,Remembering,Entity,Substance
who was monet,Easy,Remembering,Human,Description
what are the only two states that incorporate the confederate battle flag in their flags,Medium,Understanding,Location,State or province
how do you make panoramic sugar eggs for easter   the ones with the scene inside,Medium,Understanding,Description,Manner
what  s the southern dish made of pigs   small intestines,Medium,Understanding,Entity,Food
where is guam,Easy,Remembering,Location,Other
who was the famous door to door brush salesman,Easy,Remembering,Human,Individual
what is the executor in a will,Easy,Remembering,Description,Definition
what inescapable purveyor of background music celebrated its  th anniversary in july       ,Medium,Understanding,Human,Groups
how many people in america snore,Hard,Understanding,Numeric,Count
who is always trying to get the rent from andy capp,Easy,Remembering,Human,Individual
what soft drink is most heavily caffeinated,Easy,Remembering,Entity,Food
who did jackie kennedy commission to write the death of a president,Easy,Remembering,Human,Individual
which drug is commonly used to treat aids,Easy,Remembering,Entity,Disease or medical condition
how many stars are there on the soviet union  s flag,Medium,Understanding,Numeric,Count
what is the difference between microprocessors & microcontrollers,Easy,Remembering,Description,Description
who sought to create the great society,Medium,Remembering,Human,Individual
what are tourist attractions in reims,Medium,Understanding,Location,Other
what are the lengths of pearl necklaces,Medium,Understanding,Numeric,Distance
who said      soldiers win the battles and generals get the credit   ,Easy,Remembering,Human,Individual
what is the proof that houseplants metabolize carcinogens,Easy,Remembering,Description,Description
what prompted the co pilot of the enola gay to enter only    my god    in his log,Medium,Understanding,Description,Reason
how long does it take the typical hen to lay    dozen eggs,Medium,Understanding,Numeric,Period of time
what colorado city owns its own glacier,Medium,Understanding,Location,City
what is the history of    the toast   ,Easy,Remembering,Description,Description
what was the name of the protestant revolt against the supremacy of the pope,Medium,Remembering,Entity,Event
what is an arab strap,Easy,Remembering,Description,Definition
how much does it cost   average or whatever is available   to produce and send junk mail catalogues in the us     dt cd nn nn  ,Hard,Understanding,Numeric,Money
who is the current un secretary general,Easy,Remembering,Human,Individual
who provides telephone service in orange county   california,Easy,Remembering,Human,Groups
where did guinea pigs originate,Medium,Understanding,Location,Other
what two countries   coastlines border the bay of biscay,Medium,Understanding,Location,Country
why did egyptians shave their eyebrows,Medium,Understanding,Description,Reason
what organization did mr  waverly assign agents for,Medium,Creating,Human,Groups
when was the slinky invented,Medium,Remembering,Numeric,Date
what are the characters   names in the scooby doo cartoon,Medium,Understanding,Human,Individual
what is a fear of cold,Easy,Remembering,Entity,Disease or medical condition
what was eduard shevardnadze  s job in the soviet union,Hard,Understanding,Human,Title
what causes rust,Medium,Understanding,Description,Reason
which is the only dick tracy villain to appear three times,Easy,Remembering,Human,Individual
what was the monster in spielberg  s film    jaws   ,Medium,Understanding,Entity,Animal
what color is an arctic fox in winter,Easy,Remembering,Entity,Color
what do the names neil   mary   and anthony mean,Hard,Understanding,Description,Definition
what european capital celebrated its        th anniversary in     ,Medium,Understanding,Location,City
why do people in the upper peninsula of michagin say    eh     ,Hard,Understanding,Description,Reason
what flower did vincent van gogh paint,Medium,Understanding,Entity,Plant
what country was the setting of you only live twice,Medium,Remembering,Location,Country
what was thatcher  s approval rating after    years in power,Medium,Understanding,Numeric,Percentage
winnie the pooh is what kind of animal,Easy,Understanding,Entity,Animal
what was the first funk  n lata   brazilian group   success,Medium,Understanding,Description,Description
what is a handheld pc,Easy,Remembering,Description,Definition
what did john hinckley do to impress jodie foster,Medium,Understanding,Description,Description
what is larry king  s job,Easy,Remembering,Human,Title
how many calories are in a tomato,Medium,Understanding,Numeric,Count
in what state was the first co educational college established,Medium,Understanding,Location,State or province
what war saw a naval battle between the luxury liners cap trafalgar and the carmania,Hard,Understanding,Entity,Event
what is the treatment for depression,Easy,Remembering,Entity,Technology or method
what is a fear of slime,Easy,Remembering,Entity,Disease or medical condition
what country in latin america is the largest one,Easy,Remembering,Location,Country
on which hawaiian island is pearl harbor,Easy,Remembering,Location,Other
what feathered cartoon characters do yugoslavians know as vlaja   gaja   and raja,Hard,Understanding,Human,Individual
what marx brothers movie centers on a stolen painting,Medium,Understanding,Entity,"Currency, monetary value, or gem"
what was unusual about alexandra  s appearance in josie and the pussycats,Hard,Understanding,Description,Description
what is the origin of the word    mind   ,Easy,Remembering,Description,Description
when was dick clark born,Medium,Remembering,Numeric,Date
what game is fatal to anybody over   ,Easy,Remembering,Entity,Sport
what is the death toll of people dying from tuberculosis,Easy,Remembering,Numeric,Other
what happened to moon maiden,Medium,Creating,Description,Description
what city is wiener schnitzel named for,Easy,Remembering,Location,City
what are the urals,Medium,Understanding,Description,Definition
how can you stop the itch from poison ivy,Medium,Understanding,Description,Manner
what desert has the highest sand dunes,Medium,Remembering,Location,Other
what two countries contain sierra nevada mountains,Medium,Understanding,Location,Country
how do you tell your parents you are dating an older man,Medium,Understanding,Description,Manner
how long was the tv mission of star trek  s enterprise to be,Hard,Creating,Numeric,Period of time
what phone number can i call to have a tree planted,Medium,Understanding,Numeric,Code
when did the    star spangled banner    become the national anthem,Medium,Understanding,Numeric,Date
who was lacan,Easy,Remembering,Human,Description
what are the four natural aids used in riding a horse,Medium,Understanding,Entity,Technology or method
what continent  s name appears on the upper left corner of a budweiser label,Medium,Remembering,Location,Other
who was the secretary of war in the civil war during the battle of gettysburg,Medium,Understanding,Human,Individual
who did bobby fischer beat to win the world chess championship,Easy,Remembering,Human,Individual
how do you exterminate bees that are in the walls of your home   will bee eggs remain over winter,Medium,Understanding,Description,Manner
where can i get information and statistics on countries and nations,Hard,Understanding,Location,Other
name a gaelic language  ,Medium,Remembering,Entity,Language
what day is august          ,Easy,Remembering,Numeric,Date
where can i find a list of all the companies in america that offer a direct stock purchase plan,Hard,Understanding,Location,Other
how do you send a movie transcript to hollywood so that it can be produced into a film,Medium,Understanding,Description,Manner
what literary classic centers on the search for a treasure in gold worth       pounds,Medium,Understanding,Entity,"Currency, monetary value, or gem"
what is the origin of blue for boys and pink for girls,Easy,Remembering,Description,Description
what is the name of the michelangelo painting that shows two hands with fingers touching,Easy,Remembering,Entity,"Currency, monetary value, or gem"
how big is a quart,Easy,Remembering,Numeric,Volume or size
what is the hub of london,Easy,Remembering,Description,Definition
jude law acted in which film,Medium,Understanding,Entity,"Currency, monetary value, or gem"
what causes panic attacks,Medium,Understanding,Description,Reason
what was the filling in the first golf balls,Hard,Understanding,Description,Definition
what drug did sigmund freud become fascinated with while experimenting with the treatment of neurasthenia,Medium,Understanding,Entity,Disease or medical condition
what country was a terrible beauty to leon uris,Medium,Understanding,Location,Country
what is typhoid fever,Easy,Remembering,Description,Definition
where can i buy a hat like the kind jay kay from jamiroquai wears,Medium,Understanding,Location,Other
what are the twin cities,Medium,Understanding,Description,Definition
what is beethoven  s  th symphony called,Easy,Remembering,Entity,"Currency, monetary value, or gem"
name the lawyer for randy craft  ,Medium,Remembering,Human,Individual
which breakfast cereal brought you    the best each morning   ,Medium,Understanding,Entity,Food
what does ms    miss   and mrs  stand for,Hard,Understanding,Abbreviation,Expression
what is the homelite inc  home page,Easy,Remembering,Location,Other
what explosive do you get by mixing charcoal   sulfur and saltpeter,Medium,Understanding,Entity,Substance
what mountainous region of the world is the lhasa apso dog native to,Easy,Remembering,Location,Other
what cancer is commonly associated with aids,Easy,Remembering,Entity,Disease or medical condition
how long does it take light to reach the earth from the sun,Medium,Understanding,Numeric,Period of time
who lives at    stone canyon way,Easy,Remembering,Human,Individual
how many questions are on this thing,Medium,Understanding,Numeric,Count
who played humpty dumpty in the      film alice in wonderland,Easy,Remembering,Human,Individual
who is karenna gore   al gore  s oldest daughter   married to,Easy,Remembering,Human,Individual
who played the title role in i was a teenage werewolf,Easy,Remembering,Human,Individual
why are there olives in martinis,Medium,Understanding,Description,Reason
in what year did hitler gain power of germany,Medium,Understanding,Numeric,Date
what year did rossetti paint    beata beatrix   ,Medium,Understanding,Numeric,Date
what record company produced the      movie the wiz,Medium,Understanding,Human,Groups
where can i find information about touring the philippines,Hard,Understanding,Location,Other
what did the gas house gang play,Easy,Remembering,Entity,Other
how many square feet is bill gates   home,Easy,Remembering,Numeric,Count
what is the name of actor rex harrison  s son   who starred in a modestly popular tv show during the late      s,Easy,Remembering,Human,Individual
what is the highest roman numeral,Easy,Remembering,Description,Definition
what  s the most popular form of bridge,Medium,Understanding,Entity,Other
who was the inventor of the stove,Easy,Remembering,Human,Individual
what comedian has a legendary reputation for stealing jokes,Medium,Understanding,Human,Individual
where can i find information on the cyclone that hit new jersey on          ,Medium,Understanding,Location,Other
boxing day is celebrated on what date,Easy,Remembering,Numeric,Date
what are the first ten amendements passed,Medium,Understanding,Entity,"Currency, monetary value, or gem"
what is another term for the painful wrist syndrome,Easy,Remembering,Entity,Disease or medical condition
what  s the difference between sleet and freezing rain,Medium,Understanding,Description,Description
how is the new ford econoline van f   v  engine,Easy,Remembering,Description,Manner
who was the king who was forced to agree to the magna carta,Easy,Remembering,Human,Individual
who was made the first honorary citizen of the u s ,Medium,Remembering,Human,Individual
what game is garry kasparov really good at,Easy,Remembering,Entity,Sport
where was richard nixon when gerald ford became president,Medium,Understanding,Location,Other
where does the u s  rank among world countries in area,Hard,Understanding,Numeric,Order
what novel did ian fleming introduce james bond in,Medium,Remembering,Entity,"Currency, monetary value, or gem"
what was the target rate for m  growth in     ,Medium,Understanding,Numeric,Percentage
what baseball team was routinely called    dem bums    by its frustrated fans,Medium,Understanding,Human,Groups
name of scholar on whose literal translations from the chinese and japanese ezra pound depended,Medium,Remembering,Human,Individual
when did israel begin turning the gaza strip and jericho over to the plo,Hard,Analyzing,Numeric,Date
what are the major differences in the catholic and methodist religions,Medium,Understanding,Description,Description
name the on stage character whose face was never seen  ,Medium,Remembering,Human,Individual
how much energy is released when oxygen and hydrogen mix,Hard,Understanding,Numeric,Count
what is the best internet business to go into,Easy,Remembering,Human,Groups
what does venus retrograde mean,Medium,Understanding,Description,Definition
who is known as    the world  s oldest teenager   ,Easy,Remembering,Human,Individual
what are the largest breweries in the world,Easy,Understanding,Location,Other
what does las vegas mean,Medium,Understanding,Description,Definition
what does the word    meta    mean,Hard,Understanding,Description,Definition
what keeps clouds in the air,Medium,Understanding,Entity,Other
what  s the term for any four sided figure,Medium,Understanding,Entity,Term or equation
ray charles plays which instrument,Medium,Understanding,Entity,Instrument
what country and western singer is known as the silver fox,Easy,Remembering,Location,Country
what building appropriately enough is depicted on the back of the   dollar bill,Medium,Understanding,Location,Other
what is graduate school,Easy,Remembering,Description,Definition
what is the difference between new york style and chicago style pizza,Easy,Remembering,Description,Description
what baseball team owner and sailor is known as the mouth of the south,Easy,Remembering,Human,Individual
what type of betting is used in horse racing,Medium,Understanding,Entity,Sport
what kind of hat does bat masterson wear,Medium,Understanding,Entity,Product
who was with patricia hearst the night she was kidnaped,Easy,Remembering,Human,Individual
what is the viking prince  s first name,Easy,Remembering,Human,Individual
what does the abbreviation cwt ,Hard,Understanding,Abbreviation,Expression
in what deodorant commercial did tenants have adjoining medicine cabinets,Medium,Understanding,Entity,Other
where is rider college located,Easy,Remembering,Location,Other
what boxer  s life story is titled raging bull,Easy,Remembering,Human,Individual
for what reason did some san diego schools stop serving apples,Medium,Creating,Description,Reason
who advised listeners to    see the u s a  in your chevrolet   ,Easy,Remembering,Human,Individual
where was the first restaurant,Hard,Analyzing,Location,Other
where can i find full written draft of ctbt,Hard,Understanding,Location,Other
how many horses died during the civil war,Medium,Understanding,Numeric,Count
how much waste does an average dairy cow produce in a day,Hard,Understanding,Numeric,Count
what nobel laureate was expelled from the philippines before the conference on east timor,Medium,Understanding,Human,Individual
what woman has carried the most multiple births   twins   triplets   etc   ,Medium,Understanding,Human,Individual
how many minutes were there on the original ge college bowl clock,Medium,Understanding,Numeric,Count
what is the average time it takes for a male to ejaculate,Easy,Remembering,Numeric,Period of time
what is website of the international court of justice,Easy,Remembering,Location,Other
where are   of the    highest mountains in the world,Medium,Remembering,Location,Other
where can i look at a perpetual calendar,Hard,Understanding,Location,Other
how many astronauts have been on the moon,Medium,Understanding,Numeric,Count
in what year did the bounty mutiny happen,Medium,Understanding,Numeric,Date
what is the only substance that gives food its    taste    when eaten,Easy,Remembering,Entity,Substance
how do you reference a website,Medium,Understanding,Description,Manner
what is pandoro,Easy,Remembering,Description,Definition
what do the letters zip stand for in the phrase    zip code   ,Hard,Understanding,Abbreviation,Expression
which bourbon king was restored to the french throne during napoleon  s abdication,Medium,Understanding,Human,Individual
what is one of the cities that the university of minnesota is located in,Easy,Remembering,Location,City
what are the words to    my way    written by paul anka,Medium,Understanding,Description,Description
how do i install a tile floor,Hard,Understanding,Description,Manner
what is the quickest and easiest way to get nail polish out of clothes,Easy,Remembering,Entity,Technology or method
why was the zipper invented,Medium,Remembering,Description,Reason
what  s the no    killer in industrialized countries,Medium,Understanding,Entity,Other
name four famous cartoon cats  ,Medium,Remembering,Entity,Animal
what daughter of henry viii and anne boleyn became queen of england,Medium,Understanding,Human,Individual
how did   stat   come to be used as an expression for quickly,Hard,Creating,Description,Manner
what  s the most common nickname of u s  college football teams,Medium,Understanding,Human,Groups
what  s the distinction of u s  supreme court justice thurgood marshall,Medium,Understanding,Description,Description
what is the most useful site on the internet,Easy,Remembering,Location,Other
what is the world  s highest peak,Easy,Remembering,Location,Mountain
what was a mae west on a world war ii battleship,Medium,Understanding,Description,Definition
define cosmology  ,Medium,Understanding,Description,Definition
what comedienne upstaged dwight d  eisenhower  s first inauguration by giving birth to her first child,Medium,Understanding,Human,Individual
what are amicable numbers,Medium,Understanding,Description,Definition
when were the olympic games in which nadia comaneci became popular played,Medium,Understanding,Numeric,Date
where is hearst castle   built by publisher william randolph hearst,Medium,Remembering,Location,Other
what  s the largest u s  city on the great lakes,Easy,Remembering,Location,City
who sang about desmond and molly jones,Easy,Remembering,Human,Individual
what magazine gives us the cream   not the skim,Medium,Understanding,Entity,"Currency, monetary value, or gem"
what does the technique called    cold fusion    produce,Medium,Understanding,Entity,Technology or method
what costume designer decided that michael jackson should only wear one glove,Medium,Understanding,Human,Individual
what meter did shakespeare use in writing      to be   or not to be   that is the question       ,Medium,Creating,Entity,Other
how many rows of sprocket holes does a roll of    millimeter film have,Medium,Understanding,Numeric,Count
what is the goat population of the world,Easy,Remembering,Numeric,Count
what company was the original sponsor of tv  s superman,Medium,Understanding,Human,Groups
what term does a czech use to describe a pole,Medium,Understanding,Entity,Term or equation
what sea separates naples and algiers,Medium,Understanding,Location,Other
how many lawyers are there in the state of new jersey,Hard,Understanding,Numeric,Count
what are the most common elements in seawater,Medium,Understanding,Entity,Substance
describe the finnish music personality salonen  s appearance  ,Medium,Understanding,Description,Description
what is the origin of the ethnic category    caucasian   ,Easy,Remembering,Description,Description
what is a stratocaster,Easy,Remembering,Description,Definition
what kind of science is cosmology,Easy,Remembering,Entity,Other
name the blind sculptress in love with the fantastic four  s thing  ,Medium,Remembering,Human,Individual
what  s the second lightest element,Medium,Understanding,Entity,Substance
what do you call a    twirl    in ballet,Medium,Understanding,Entity,Term or equation
what is the brand name of daminozide,Easy,Remembering,Entity,Product
what is the former name of zimbabwe,Easy,Remembering,Entity,Term or equation
what national basketball association superstar told his story in giant steps,Medium,Understanding,Human,Individual
what animals did the amazing three masquerade as,Medium,Remembering,Entity,Animal
how did the bikini bathing suite get its name,Hard,Remembering,Description,Manner
when did fraze get his first patent for the pull tab can,Hard,Creating,Numeric,Date
how many games are played in a five team round robin tournament,Medium,Understanding,Numeric,Count
who developed the first polio vaccine,Easy,Remembering,Human,Individual
who made the first gas engine,Easy,Remembering,Human,Individual
what country claimed rubens   van dyck and bruegel as citizens,Hard,Remembering,Location,Country
what civil war was fought between      and     ,Medium,Understanding,Entity,Event
how many questions do you have on your database,Medium,Understanding,Numeric,Count
how do clouds form,Hard,Understanding,Description,Manner
where can i find examples of legal cases about the individuals with disabilities education act,Medium,Understanding,Location,Other
what character did tex avery first create upon arriving at mgm,Medium,Creating,Human,Individual
when was the triangle shirtwaist fire,Medium,Applying,Numeric,Date
what asian spiritual and political leader was married at the age of   ,Medium,Understanding,Human,Individual
where is ocho rios,Easy,Remembering,Location,Other
what is the half life of p   ,Easy,Remembering,Description,Definition
what ocean does mauritania border,Medium,Understanding,Location,Other
why do pressure cookers save time in the kitchen,Hard,Understanding,Description,Reason
why are there    people on a jury in criminal cases,Medium,Understanding,Description,Reason
what do christian scientists believe in,Medium,Understanding,Description,Description
what world war i battle saw       troops killed in one day,Medium,Understanding,Entity,Event
what country is kosovo a part of,Easy,Remembering,Location,Country
tell me what city the kentucky horse park is near,Easy,Remembering,Location,City
what computer operating system is on the most computers,Medium,Understanding,Entity,Product
what is bill gross  s email address,Easy,Remembering,Location,Other
what is the economic impact of unemployment on the economy,Easy,Remembering,Description,Description
what do the letters d c  stand for in washington   d c ,Hard,Understanding,Abbreviation,Expression
what animals can live the longest without food,Medium,Understanding,Entity,Animal
what english queen had seventeen children,Medium,Understanding,Human,Individual
what is the approximate population of las vegas   n m,Easy,Remembering,Numeric,Other
how much does the president get paid,Hard,Understanding,Numeric,Money
what two baseball players make up the battery,Medium,Understanding,Human,Individual
what  s the largest letter in salvador dali  s signature,Easy,Remembering,Entity,Letter
what does an irate car owner call iron oxide,Medium,Understanding,Entity,Term or equation
of children between the ages of two and eleven   what percentage watch    the simpsons   ,Medium,Understanding,Numeric,Percentage
what  s the northernmost u s  state apart from alaska,Medium,Understanding,Location,State or province
name an art gallery in new york  ,Medium,Remembering,Location,Other
who sells viagra,Easy,Remembering,Human,Individual
what musical instrument did prewitt play in james jones  s from here to eternity,Medium,Creating,Entity,Instrument
what is the home rule act,Easy,Remembering,Description,Definition
what building are british monarchs crowned in,Medium,Understanding,Location,Other
what are bellworts,Medium,Understanding,Description,Definition
who was darius,Easy,Remembering,Human,Description
what movie told of anna anderson  s claim to be a russian czar  s daughter,Medium,Creating,Entity,"Currency, monetary value, or gem"
who did dita beard work for,Easy,Remembering,Human,Individual
what kind of creature is a coot,Easy,Remembering,Entity,Animal
name the university of which woodrow wilson was president  ,Medium,Remembering,Human,Groups
what country was first to use the airplane as a weapon of war   against the turks in libya,Medium,Remembering,Location,Country
what university was woodrow wilson president of,Medium,Understanding,Human,Groups
what is a fear of disease,Easy,Remembering,Entity,Disease or medical condition
what kind of meat is fray bentos synonymous with,Easy,Remembering,Entity,Food
what did mr  magoo flog on tv for general electric,Medium,Understanding,Entity,Other
what are the words to the canadian national anthem,Medium,Understanding,Description,Description
what is the name of the jewish alphabet,Easy,Remembering,Entity,Term or equation
who served as inspiration for the schoolteacher portrayed by robin williams in    dead poets society   ,Easy,Analyzing,Human,Individual
what is columbia tristar  s phone number,Easy,Remembering,Numeric,Code
name the five positions who are in the line of succession to the presidency  ,Medium,Remembering,Human,Title
which one of the original seven mercury program astronauts did not fly on any of the mercury flights,Medium,Understanding,Human,Individual
who is the best known villain of the     gunpowder plot,Easy,Remembering,Human,Individual
what is the capital of burkina faso,Easy,Remembering,Location,City
what continent is bolivia on,Easy,Remembering,Location,Other
why was muhammad ali stripped of his title and barred from boxing in     ,Medium,Understanding,Description,Reason
who killed more people   hitler or stalin,Easy,Remembering,Human,Individual
what caused shea & gould to close their l a  office,Medium,Understanding,Description,Reason
what  s the only mammal that can  t jump,Medium,Understanding,Entity,Animal
what u s  state has the most blondes,Medium,Understanding,Location,State or province
what war saw battles at parrot  s beak and black virgin,Medium,Understanding,Entity,Event
what was the u s  highway death toll in     ,Medium,Understanding,Numeric,Count
what does the name kelly mean,Hard,Remembering,Description,Definition
